sample_size,mean_beta,mean_sem,mean_ci_width,sd_beta,median_beta
10,1.5391456,.69993383,3.2281005,.78943735,1.518831
100,1.5084735,.20551959,.81569386,.21326064,1.5041468
1000,1.5229989,.064111724,.25161847,.064047426,1.5213434
10000,1.5202848,.020254843,.079407096,0,1.5202848
