table,rowlabel,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,n_missing,flag_many_missing
62,18 AND ABOVE,1675569,1386325,289244,,860590,778166,,82424,,814699,607966,206733,3,1
61,18 AND ABOVE,1438265,1175508,262757,722929,646397,,76532,715100,528954,186146,236,157,1,0
60,18 AND ABOVE,1246391,1041176,205215,615200,565424,49776,,630954,475575,155379,237,177,1,0
59,18 AND ABOVE,1466734,,1157183,309551,,731997,649851,,82146,,734496,507166,4,1
58,18 AND ABOVE,754100,,593966,,160134,,378573,,330255,,48318,,6,1
57,18 AND ABOVE,4574257,3802659,771598,,2336614,2116371,220243,,2236848,1685703,551145,,3,1
56,18 AND ABOVE,1935854,1509957,425897,,1003142,882644,120498,,932363,627096,305267,,3,1
55,18 AND ABOVE,,760366,,604568,,155798,,385496,,341528,,43968,6,1
54,18 AND ABOVE,1872357,,1540107,,332250,,976135,,883906,,92229,,6,1
53,18 AND ABOVE,,6672332,5616492,1055840,3516281,3231972,284309,3154137,2383136,771001,,1914,2,0
52,18 AND ABOVE,2200828,1815891,384937,1055522,960336,95186,,1144838,855236,289602,,468,2,0
51,18 AND ABOVE,,913043,,730204,,182839,,435437,,394315,,41122,6,1
50,18 AND ABOVE,,911690,,770026,,141664,,427688,,393918,,33770,6,1
49,18 AND ABOVE,646050,521846,124204,,322676,289739,,32937,,323284,232049,91235,3,1
48,18 AND ABOVE,1613380,1407203,206177,,749832,700401,,49431,,863341,,706639,4,1
47,18 AND ABOVE,2840993,,2273714,,567279,1417739,1252049,,165690,1422673,1021294,,4,1
46,18 AND ABOVE,866295,767875,,98420,,423276,401742,,21534,,442899,366030,4,1
45,18 AND ABOVE,2118500,,1832194,286306,1054621,979041,,75580,1063479,852874,210605,,3,1
44,18 AND ABOVE,,750010,,670686,,79324,,364402,345308,,19094,,6,1
43,18 AND ABOVE,,888266,,756159,,132107,,448444,415120,,33324,,6,1
42,18 AND ABOVE,3263230,,3042370,,220860,,1632265,1570637,,61628,1629899,1470784,4,1
41,18 AND ABOVE,745729,,691246,,54483,,356778,,342440,,14338,,6,1
40,18 AND ABOVE,917465,,859810,,57655,,426397,411874,,14523,,490956,5,1
39,18 AND ABOVE,1126284,,1027873,,98411,547252,525594,,21658,578904,502174,,4,1
38,18 AND ABOVE,,17011,,,13524,,3487,,8625,,7954,,7,1
37,18 AND ABOVE,32762,,26945,5817,,15132,,14177,,955,17627,12765,4,1
36,18 AND ABOVE,,11498,,8412,,3086,,5609,,4793,,816,6,1
35,18 AND ABOVE,61128,,45030,16098,29905,27889,2016,31218,17138,14080,5,3,1,0
34,18 AND ABOVE,29401,,21948,,7453,,14580,,12893,,1687,,6,1
33,18 AND ABOVE,,,19738,11885,7853,9908,8679,1229,9830,3206,6624,,3,1
32,18 AND ABOVE,463840,385213,78627,229153,215304,13849,234640,169880,64760,47,29,18,0,0
31,18 AND ABOVE,,298848,,227323,,71525,,155288,,138184,,17104,6,1
