OBJECTID,GEOID,COUNTYFP,COUNTYNAME,ALAND,AWATER,Threshold,PctPopLI,Shape_Length,Shape_Area
60,511019502002,101,King William County,160843203,13455301,HUD,0.358,120577.184710613,278258649.239331
61,510539801001,053,Dinwiddie County,52479528,468269,HUD,0,48227.7462095585,83274714.1307696
62,510538403004,053,Dinwiddie County,7378605,112815,HUD,0.555,16384.3002664889,11831382.0446237
63,511076110231,107,Loudoun County,2319134,5136,HUD,0.037,9654.61945388641,3856436.9582855
64,511076110112,107,Loudoun County,528383,0,HUD,0.599,4989.4470907157,877972.204600386
65,511076110093,107,Loudoun County,871752,11346,HUD,0.023,4980.49733075836,1467629.44669548
66,511076110221,107,Loudoun County,853566,23394,HUD,0.284,5270.89548135202,1454546.21714541
67,511076110232,107,Loudoun County,1139741,6001,HUD,0.026,7019.13658547475,1901064.66064618
68,511076110042,107,Loudoun County,731851,3263,HUD,0.199,6957.00876890482,1220726.57380513
69,511330202001,133,Northumberland County,71485061,6317284,HUD,0.448,56970.4088609789,125251056.643327
70,511210201001,121,Montgomery County,2987463,27126,HUD,0,11081.9034731689,4763064.16479181
71,511210202013,121,Montgomery County,2386494,992,HUD,0.801,10398.6905149094,3771224.72772699
72,511210205003,121,Montgomery County,3985553,3925,HUD,0.507,11065.0781620435,6307811.50556888
73,510872001402,087,Henrico County,2428666,21153,HUD,0.152,9960.06370162823,3914835.78420818
74,510310204021,031,Campbell County,3846222,246157,HUD,0.355,12990.8121913018,6481744.90980233
75,518000651002,800,Suffolk city,898379,0,HUD,0.751,6313.83838715668,1401410.89441575
76,518000655002,800,Suffolk city,237094,0,HUD,0.738,3076.5487277893,369791.497885259
77,518000754011,800,Suffolk city,6192433,1504497,HUD,0.231,18166.1333271793,12011268.6532047
78,511790102113,179,Stafford County,1204060,0,HUD,0.505,8599.24184848887,1966574.03838291
79,511790102112,179,Stafford County,1014874,0,HUD,0.053,6274.18819494241,1657484.50393016
80,511790102111,179,Stafford County,677576,6678,HUD,0.731,5379.21095394619,1117800.03218751
81,511790101081,179,Stafford County,889318,0,HUD,0.134,5255.56163345698,1452907.10787316
82,511790104062,179,Stafford County,3159862,0,HUD,0.329,11814.3183862773,5139562.28592329
83,511076112051,107,Loudoun County,473018,0,HUD,0.521,4062.48444932646,785011.266677603
84,511076110233,107,Loudoun County,655099,0,HUD,0.122,4740.82731535368,1086902.33480666
85,511076118031,107,Loudoun County,1164075,25584,HUD,0.212,6768.81939467014,1967005.4048756
86,511076118032,107,Loudoun County,977127,17740,HUD,0.241,6024.92889137885,1645378.36683623
87,511210201002,121,Montgomery County,327746,0,HUD,0,3072.46020478218,517853.203848311
88,511210210001,121,Montgomery County,9212089,18555,HUD,0.451,16945.3846465631,14544012.9388668
89,511210202014,121,Montgomery County,2457392,0,HUD,0.341,10336.9008236379,3881365.25139092
90,517100033001,710,Norfolk city,735506,3978,HUD,0.695,5011.64156947566,1157452.54962424
91,517100058001,710,Norfolk city,336977,0,HUD,0.73,3043.42692150395,528087.640972708
92,517100066022,710,Norfolk city,932198,0,HUD,0.46,4861.8357719823,1461227.61616584
93,517100066061,710,Norfolk city,510778,0,HUD,0.74,5156.52171297276,800524.952824373
94,518000757011,800,Suffolk city,3153610,304226,HUD,0.251,10189.1699909118,5392653.00657703
95,518000754012,800,Suffolk city,3174469,359954,HUD,0.364,17137.9313309197,5516977.02034252
96,511790102053,179,Stafford County,2253115,8472,HUD,0.164,9488.57295375706,3695586.26428563
97,511790102132,179,Stafford County,1141769,0,HUD,0.056,6672.89962095795,1864673.14819124
98,511790103042,179,Stafford County,8691818,45451,HUD,0.301,19376.9850086337,14228455.4862144
99,511790102142,179,Stafford County,1134664,9052,HUD,0.503,5766.93653167757,1868603.48117117
100,511076110223,107,Loudoun County,1255220,3673,HUD,0.056,7548.68662399208,2088035.34739024
101,511076110111,107,Loudoun County,1136405,16300,HUD,0.23,6774.35109347365,1915790.5823305
102,517100065021,710,Norfolk city,249143,35602,HUD,0.089,3164.94846792029,446404.519910325
103,517100065012,710,Norfolk city,359215,0,HUD,0.541,3278.53467009222,563276.334413195
104,517100009021,710,Norfolk city,17627460,8026430,HUD,0.73,46247.2066574627,40227105.3335032
105,517100004001,710,Norfolk city,430732,653524,HUD,0.337,8224.37191879098,1701462.04425286
106,517100069011,710,Norfolk city,1082503,0,HUD,0.25,5364.82256578757,1693780.44518451
107,517100070021,710,Norfolk city,1027270,116107,HUD,0.57,6501.33164515256,1789115.30355063
108,517100066051,710,Norfolk city,843751,56778,HUD,0.322,6160.76574507071,1411289.13743622
109,517109801001,710,Norfolk city,2336841,2575385,HUD,0,12317.7467984043,7691041.4276868
110,510650201031,065,Fluvanna County,2746734,691756,HUD,0.399,10717.474832797,5532937.35178444
111,510650201014,065,Fluvanna County,13804456,206767,HUD,0.354,28984.6613298267,22530495.547209
112,510650201041,065,Fluvanna County,9376900,494523,HUD,0.358,23244.7817149502,15894735.7168085
113,510650201032,065,Fluvanna County,3709765,45451,HUD,0.422,12277.7208564095,6041073.60985621
114,510650201042,065,Fluvanna County,2372806,123869,HUD,0.436,11797.5447924593,4019322.07423327
115,510650201043,065,Fluvanna County,3837421,218290,HUD,0.231,11971.8110868856,6527285.21438495
116,515102008011,510,Alexandria city,1119968,0,HUD,0.356,6224.43093430621,1847640.48858208
117,515102008021,510,Alexandria city,307139,2159,HUD,0.282,3252.42874095381,510129.251718452
118,515102008023,510,Alexandria city,449098,5789,HUD,0.264,4950.10083600686,750197.532813843
119,515102009001,510,Alexandria city,392468,0,HUD,0.129,3802.49032758596,647645.757323173
120,515102009002,510,Alexandria city,381369,0,HUD,0.036,3435.64012470187,629320.456835332
121,518000757012,800,Suffolk city,8761689,290625,HUD,0.774,19871.5274233403,14108324.8113947
122,518000753012,800,Suffolk city,2620341,1039847,HUD,0.291,10142.2062627407,5734756.28590567
123,511790102141,179,Stafford County,1505489,0,HUD,0.256,6460.61518705638,2459358.72913143
124,511790102122,179,Stafford County,1363192,0,HUD,0.139,7818.67214669339,2226770.49718167
125,510090103001,009,Amherst County,14866620,33210,HUD,0.216,28889.8875178817,23720011.3722979
126,510090102012,009,Amherst County,10193215,90303,HUD,0.502,25510.8707206422,16406574.5085319
127,510090102013,009,Amherst County,11164337,58462,HUD,0.267,22835.5376166965,17893301.934624
128,510090105051,009,Amherst County,5793066,647623,HUD,0.59,18201.5482265118,10227228.5431644
129,510090105043,009,Amherst County,5589729,22511,HUD,0.287,15745.5463678162,8920784.9535172
130,510090105041,009,Amherst County,1344365,0,HUD,0.581,6273.8327271653,2135896.36746858
131,511076110172,107,Loudoun County,298194,2269,HUD,0.354,3460.11763484207,498715.510462189
132,511539016022,153,Prince William County,1295516,33921,HUD,0.255,9311.62519361434,2191704.99238882
133,511076110062,107,Loudoun County,801128,105181,HUD,0.176,6025.18760251386,1504240.75946706
134,511076110131,107,Loudoun County,1062685,15076,HUD,0.129,5701.23311413705,1789969.7529982
135,511076110052,107,Loudoun County,422226,3150,HUD,0.122,3648.11145062239,706031.071964529
136,511076118041,107,Loudoun County,1194276,20845,HUD,0.378,6296.4969421477,2010356.66463693
137,511076118033,107,Loudoun County,593038,17603,HUD,0.246,4952.87338366226,1009964.55482161
138,517100056021,710,Norfolk city,645071,4335,HUD,0.328,4462.92577851373,1017943.17144405
139,515500208041,550,Chesapeake city,1292873,252392,HUD,0.391,7810.61433864197,2412285.88002721
140,515500208043,550,Chesapeake city,3192725,404251,HUD,0.017,10777.4976916194,5612445.91247654
141,515500208121,550,Chesapeake city,841649,86682,HUD,0.364,5782.33273974945,1449807.59145169
142,515500208045,550,Chesapeake city,28359629,1090607,HUD,0.264,41063.7413144155,45944578.5347768
143,515500208042,550,Chesapeake city,1434601,0,HUD,0.231,6887.41621456591,2238301.48241513
144,515500208044,550,Chesapeake city,1792052,29969,HUD,0.225,7558.99041150923,2843764.98373052
145,517100069021,710,Norfolk city,1659387,86913,HUD,0.301,10329.2716448562,2731631.06710276
146,517100003001,710,Norfolk city,1086468,23080,HUD,0.448,7674.74710000936,1740528.69604995
147,517100007002,710,Norfolk city,909412,33089,HUD,0.345,6277.90107711839,1477901.19831735
148,517100006003,710,Norfolk city,152775,0,HUD,0.526,2132.82619826629,239607.926470971
149,517100006002,710,Norfolk city,450491,0,HUD,0.279,3923.97044893114,706507.581502237
150,517100020001,710,Norfolk city,922706,263931,HUD,0.376,6741.34014368072,1858941.34595993
151,517100057021,710,Norfolk city,929752,3673,HUD,0.376,6119.6510379334,1462194.67582382
152,517100013002,710,Norfolk city,473928,0,HUD,0.691,4255.17794872849,742847.345308911
153,515102007032,510,Alexandria city,95740,0,HUD,0.427,1814.87721361498,157863.593559265
154,518000755022,800,Suffolk city,38665365,112446,HUD,0.43,34928.9800979906,60581191.6102082
155,518000753013,800,Suffolk city,2105377,1621468,HUD,0.018,10877.9022763008,5837202.42899409
156,518000754023,800,Suffolk city,763469,17339,HUD,0.059,8153.7508299753,1219072.82946389
157,511076105051,107,Loudoun County,460911,0,HUD,0.983,3801.90964162118,766588.945688309
158,511076116011,107,Loudoun County,1020997,8386,HUD,0.455,5900.03264801872,1707284.81720084
159,517100038001,710,Norfolk city,424064,228680,HUD,0.424,7096.61465595097,1021711.98879414
160,517100012002,710,Norfolk city,384979,0,HUD,0.612,3836.40030986608,603412.623542072
161,517100022001,710,Norfolk city,883827,747055,HUD,0.191,7188.72659711238,2554747.22854993
162,517100024001,710,Norfolk city,685260,1689431,HUD,0.148,8526.70408619403,3720305.22150289
163,517100022002,710,Norfolk city,602628,136157,HUD,0.116,4292.25016860439,1157483.35791617
164,517100014003,710,Norfolk city,732282,43015,HUD,0.286,4547.67883645718,1214836.64268632
165,517100025001,710,Norfolk city,921497,40067,HUD,0.892,7206.70364300518,1505862.07060306
166,517109802001,710,Norfolk city,2225448,23799,HUD,0,7743.61700977577,3520204.11205588
167,517100044003,710,Norfolk city,197704,12670,HUD,1,2810.91693184557,329233.050797699
168,517100029001,710,Norfolk city,834870,133407,HUD,0.861,5419.32484507993,1516012.75421018
169,516789305011,678,Lexington city,1298550,40440,HUD,0.179,9238.28630028462,2147430.01875833
170,516789305012,678,Lexington city,1673929,0,HUD,0.216,7969.46543515922,2683674.95555097
171,516789800001,678,Lexington city,1252547,23789,HUD,0.106,8271.22361013233,2047182.81938289
172,516789305013,678,Lexington city,745095,0,HUD,0.762,4884.37601052003,1194775.4690917
173,516789305015,678,Lexington city,907734,3554,HUD,0.156,6548.69642904673,1461384.88190502
174,516789305014,678,Lexington city,595145,0,HUD,0.432,5537.34777593664,954498.120936681
175,511870202001,187,Warren County,61269279,1314258,HUD,0.16,55448.423782818,103742666.382082
176,518000758031,800,Suffolk city,10547487,87344,HUD,0.268,19941.5184031605,16569474.1322494
177,518000754051,800,Suffolk city,38558046,411392,HUD,0.441,41096.7083198112,60802373.6712021
178,517100006004,710,Norfolk city,384463,0,HUD,0.813,3393.074352812,602987.046042924
179,517100065013,710,Norfolk city,137327,49915,HUD,0.679,2838.86629764011,293587.307686243
180,517100009013,710,Norfolk city,825060,0,HUD,0.708,6975.09825954609,1293593.56606972
181,517100065023,710,Norfolk city,163095,0,HUD,0.385,2813.93145791961,255707.130021565
182,517100065011,710,Norfolk city,409553,47046,HUD,0.548,3342.64564060459,715916.366367028
183,517100065024,710,Norfolk city,398001,82390,HUD,0.851,3373.77742518177,753171.379258305
184,517100009015,710,Norfolk city,1198630,0,HUD,0.714,7038.81678741375,1879035.92319598
185,517100009012,710,Norfolk city,590398,0,HUD,0.816,4451.90440985248,925572.452294401
186,517100012003,710,Norfolk city,371079,25460,HUD,0.373,3883.14872597166,621478.322896042
187,517100066042,710,Norfolk city,519929,158052,HUD,0.547,4107.09056190104,1062773.12870362
188,517100009014,710,Norfolk city,166989,0,HUD,0.828,2073.90237813184,261787.343204271
189,517100059014,710,Norfolk city,431122,0,HUD,0.652,3557.50960664204,675375.182607323
190,517100026003,710,Norfolk city,229638,145373,HUD,0.687,3395.87017537057,587355.416934995
191,517100036001,710,Norfolk city,854084,0,HUD,0.307,4986.2944633367,1336893.07225601
192,517100002012,710,Norfolk city,386302,0,HUD,0.438,4896.46046028459,605890.759040204
193,517100045001,710,Norfolk city,773401,0,HUD,0.378,5510.03336602815,1210094.5800884
194,517100001001,710,Norfolk city,469416,46000,HUD,0.562,3922.60210674074,808223.325608378
195,517109803001,710,Norfolk city,5009638,1072800,HUD,0,15411.8697788406,9527962.28337583
196,517100066052,710,Norfolk city,1065458,323800,HUD,0.556,7591.78009089413,2177246.3717432
197,517100068001,710,Norfolk city,2821272,148402,HUD,0.483,11552.8519639485,4648295.05662019
198,517100016002,710,Norfolk city,330656,8666,HUD,0.74,4353.23701378777,531820.161104582
199,510890113003,089,Henry County,33988639,296366,FPL,0.335247666905958,43633.9682101077,53545099.5888499
200,510890111003,089,Henry County,6419639,0,FPL,0.513513513513513,19080.5925905631,10019660.7451988
201,510890111001,089,Henry County,11785054,39439,FPL,0.378917378917379,23193.585833413,18448725.5153362
202,510890102005,089,Henry County,3066880,46634,FPL,0.133651551312649,11735.0591725834,4857101.59609704
203,510890101004,089,Henry County,3833691,0,FPL,0.552213393870602,16397.2035605388,5978136.25515659
204,510890102003,089,Henry County,1377427,0,FPL,0.447289156626506,9564.71968744933,2148340.5264211
205,510890101003,089,Henry County,1885867,12743,FPL,0.483277591973244,9384.33443391546,2961361.88198642
206,510890102004,089,Henry County,4623097,0,FPL,0.292272379495027,13767.0261712246,7209406.3223824
207,510950802021,095,James City County,4139581,92847,HUD,0.114,11475.8869956966,6691464.50624184
208,511870202002,187,Warren County,58769628,694987,HUD,0.177,49847.2595720825,98572556.3946156
209,517100026001,710,Norfolk city,465250,7386,HUD,0.968,3489.040764364,740138.314929712
210,517100057014,710,Norfolk city,556103,0,HUD,0.635,4175.6969389474,871491.952426401
211,517100059012,710,Norfolk city,632881,0,HUD,0.79,5613.88088396174,991420.407750624
212,517100051004,710,Norfolk city,752256,10591,HUD,1,4436.08391445316,1192880.71142922
213,517100040022,710,Norfolk city,111533,0,HUD,0.472,1785.5579548388,174557.247877191
214,517100049003,710,Norfolk city,994944,21956,HUD,0.399,6574.25872346823,1591147.92070738
215,517100048002,710,Norfolk city,97611,0,HUD,0,1679.32946743175,152736.331387537
216,518000754053,800,Suffolk city,19131597,4294212,HUD,0.225,28913.0094263174,36615495.0679515
217,518000757021,800,Suffolk city,2152424,172985,HUD,0.203,8170.8489942124,3624537.10774219
218,518000754022,800,Suffolk city,3923518,440297,HUD,0.074,16187.7602086478,6816470.5229783
219,517000321313,700,Newport News city,263907,0,HUD,0.574,3190.29903249825,416167.995750365
220,511479302023,147,Prince Edward County,44216073,255431,HUD,0.799,35698.918068657,70344359.7985994
221,517100066011,710,Norfolk city,771908,27766,HUD,0.266,6004.29705018171,1253571.78239531
222,517100037002,710,Norfolk city,364231,0,HUD,0.53,3481.44989963487,570176.164807919
223,517100035013,710,Norfolk city,538695,0,HUD,0.422,4154.71511878139,843141.682376033
224,518000758012,800,Suffolk city,41597429,0,HUD,0.403,35921.6696118401,64633874.4332606
225,518000752032,800,Suffolk city,1238168,8751,HUD,0.24,6319.26116846675,1950627.79703192
226,518000757022,800,Suffolk city,8068785,5525,HUD,0.395,20521.3805946484,12591291.8751302
227,510790302012,079,Greene County,6768008,83021,HUD,0.385,14172.5238104899,11110681.4091611
228,510790302014,079,Greene County,6779314,11458,HUD,0.285,14423.5519257628,11015199.7196771
229,510790302022,079,Greene County,32231551,170095,HUD,0.529,38041.4197347321,52623246.7472026
230,510790302021,079,Greene County,29673861,107984,HUD,0.702,31230.2025467435,48344604.8209391
231,510790302011,079,Greene County,7239794,25503,HUD,0.358,14307.022494742,11789097.2267672
232,510790302013,079,Greene County,5607909,78744,HUD,0.293,13006.3985522642,9228470.11038634
233,510350803004,035,Carroll County,38936077,1132042,FPL,0.493486590038314,45644.5462976742,62497883.8147486
234,510350804012,035,Carroll County,38805556,140576,FPL,0.188535031847134,37343.7397688104,60684947.5253953
235,510350805011,035,Carroll County,151018367,933570,FPL,0.321377331420373,74529.7983706311,237250651.176698
236,510350806031,035,Carroll County,28566218,36545,FPL,0.404066073697586,30370.6297853919,44441179.586719
237,510350806041,035,Carroll County,38651095,61854,FPL,0.356943669827105,38692.0458733088,60180824.16084
238,510350806032,035,Carroll County,21693390,28454,FPL,0.452182952182952,33270.7882503689,33784753.591132
239,510350806033,035,Carroll County,35998112,47211,FPL,0.516351118760757,45624.083085824,56104998.9055041
240,510350804021,035,Carroll County,51673796,78410,FPL,0.228571428571429,47819.6107600922,80613086.7777651
241,510350805012,035,Carroll County,81883272,141304,FPL,0.540366972477064,53543.1920171659,127789529.190921
242,510350804011,035,Carroll County,21312528,34994,FPL,0.46441750131787,29423.5987503275,33260211.8521591
243,510350805022,035,Carroll County,32976219,20491,FPL,0.265460030165913,31831.7487781088,51475863.6436907
244,510350805021,035,Carroll County,50750674,228139,FPL,0.538213132400431,48926.5611844706,79452974.0423418
245,510350804022,035,Carroll County,40138767,19813,FPL,0.400487408610885,52110.1083425552,62507469.3371698
246,511539004034,153,Prince William County,502604,0,HUD,0.512,5745.48218570785,825242.281355188
247,518000757024,800,Suffolk city,2358750,341292,HUD,0.323,10347.6077446019,4209778.24877737
248,518000757023,800,Suffolk city,4713947,223727,HUD,0.286,12299.3013768921,7698005.39379629
249,516105002005,610,Falls Church city,258876,0,HUD,0.128,2730.64765390277,427853.829051499
250,516105002004,610,Falls Church city,254670,32,HUD,0.189,3522.81061914467,420920.74729193
251,516105003003,610,Falls Church city,477747,0,HUD,0.051,3942.25810377118,789451.538514012
252,511019501022,101,King William County,100172823,1265794,HUD,0.375,82829.6676276278,162953082.433096
253,511019503001,101,King William County,16445909,2671257,HUD,0.377,31741.0942402341,30479053.6775258
254,511019503002,101,King William County,2493903,2391190,HUD,0.303,14936.9574071397,7782239.48700012
255,510131014021,013,Arlington County,122896,0,HUD,0.22,2095.97578274417,203113.945357387
256,510131015032,013,Arlington County,260200,0,HUD,0.039,2651.09095461033,430143.338215665
257,510131016011,013,Arlington County,107568,0,HUD,0,2941.06824939033,177850.980804247
258,517000312002,700,Newport News city,1431001,0,HUD,0.944,10131.5723781557,2248039.3773763
259,517000303005,700,Newport News city,368642,1410600,HUD,0.724,10826.789687682,2792282.89717012
260,517000304002,700,Newport News city,506304,0,HUD,0.424,3995.13239290712,794871.185931722
261,517000303004,700,Newport News city,365747,0,HUD,0.4,3453.1527093757,574225.074056741
262,517000303002,700,Newport News city,631735,0,HUD,0.483,4964.60671218515,991919.443953172
263,517000320012,700,Newport News city,2142147,1139302,HUD,0.201,10512.6035736721,5167401.76795492
264,517000320011,700,Newport News city,1351025,422316,HUD,0.123,7631.56748736321,2793635.375065
265,517000319011,700,Newport News city,1409446,0,HUD,0.357,5886.17823975754,2218696.04310981
266,517600607002,760,Richmond city,3594271,527187,HUD,0.919,15499.4581207381,6561436.7415376
267,517600704001,760,Richmond city,3229264,359966,HUD,0.373,13241.756469758,5718552.51163311
268,517600409001,760,Richmond city,346817,0,HUD,0.36,3013.7412216114,552827.132449275
269,511319303021,131,Northampton County,112247259,202256389,HUD,0.417,114605.108613721,497687231.425049
270,511319303022,131,Northampton County,76200534,51835581,HUD,0.468,100161.635704253,201975032.223369
271,511319303013,131,Northampton County,14874179,3566131,HUD,0.348,26199.7986285995,29161497.2700246
272,511319303011,131,Northampton County,20716728,4135965,HUD,0.339,28690.0112116509,39342652.3141387
273,511319303012,131,Northampton County,1422484,998088,HUD,0.429,9150.04101891801,3829253.79824335
274,510030110004,003,Albemarle County,25554939,339123,HUD,0.231,35837.1580637042,41816765.72668
275,510030110005,003,Albemarle County,6005205,44309,HUD,0.145,14984.063584171,9776301.06589899
276,510030114003,003,Albemarle County,115350757,1916093,HUD,0.394,78772.4651290917,188060045.872377
277,510030106022,003,Albemarle County,1092565,0,HUD,0.414,7322.55575953283,1765126.28861287
278,517500101021,750,Radford city,264471,0,HUD,0,2756.13202251931,416923.161396192
279,510330305012,033,Caroline County,19128136,467796,HUD,0.052,23949.9356408555,31631473.5402403
280,510330305011,033,Caroline County,13828025,62993,HUD,0.482,23313.5258876414,22426354.4574843
281,510330305031,033,Caroline County,82072738,436597,HUD,0.461,60080.2437872076,133126148.257378
282,510330305021,033,Caroline County,10745050,117445,HUD,0.398,21420.7176928428,17524107.9374045
283,510330305022,033,Caroline County,7344528,1127806,HUD,0.53,15985.0104879855,13660823.3408459
284,510330305023,033,Caroline County,49256381,688713,HUD,0.219,46633.6953486207,80521780.1425815
285,510330305032,033,Caroline County,54892386,905667,HUD,0.412,48452.1257357459,89844078.3885142
286,511430101003,143,Pittsylvania County,70420404,199548,FPL,0.582690187431091,64862.3229693153,110870555.819747
287,511430104002,143,Pittsylvania County,53955042,188153,FPL,0.24859392575928,54044.1439916545,84617871.0048851
288,511430111002,143,Pittsylvania County,82131048,47693,FPL,0.245318352059925,48678.0866663114,127705904.301233
289,511430102003,143,Pittsylvania County,51297465,331165,FPL,0.460588235294118,53075.0170189465,81249566.6388837
290,511430114002,143,Pittsylvania County,31568105,85483,FPL,0.463615023474178,33760.8510500235,49265900.1537431
291,511430101002,143,Pittsylvania County,115740544,718441,FPL,0.363636363636364,89601.0716683722,182965526.983229
292,511430105003,143,Pittsylvania County,92943182,965149,FPL,0.52619589977221,65579.0677697588,146881878.660952
293,511430107002,143,Pittsylvania County,123839013,986282,FPL,0.382570162481536,73742.5619043116,195105677.650488
294,511430112001,143,Pittsylvania County,14361596,61803,FPL,0.402131782945736,28257.5655837423,22433715.4350842
