"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US3300719300","Dummer town, Coos County, New Hampshire","137","31","132","30","5","5",
"0600000US3300725140","Errol town, Coos County, New Hampshire","143","39","137","39","6","7",
"0600000US3300725180","Ervings location, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300730260","Gorham town, Coos County, New Hampshire","1417","133","1076","129","341","107",
"0600000US3300731780","Greens grant, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300732420","Hadleys purchase, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300738820","Jefferson town, Coos County, New Hampshire","508","119","449","117","59","34",
"0600000US3300739940","Kilkenny township, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300740420","Lancaster town, Coos County, New Hampshire","1419","140","1083","117","336","127",
"0600000US3300743620","Low and Burbanks grant, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300746020","Martins location, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300747860","Milan town, Coos County, New Hampshire","613","84","496","60","117","54",
"0600000US3300748260","Millsfield township, Coos County, New Hampshire","2","3","2","3","0","12",
"0600000US3300756100","Northumberland town, Coos County, New Hampshire","891","115","653","118","238","79",
"0600000US3300757860","Odell township, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300761620","Pinkhams grant, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300761780","Pittsburg town, Coos County, New Hampshire","385","69","351","67","34","17",
"0600000US3300763860","Randolph town, Coos County, New Hampshire","176","27","142","26","34","16",
"0600000US3300767860","Sargents purchase, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300768500","Second College grant, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300768980","Shelburne town, Coos County, New Hampshire","236","47","197","42","39","31",
"0600000US3300773060","Stark town, Coos County, New Hampshire","193","37","181","37","12","9",
"0600000US3300773380","Stewartstown town, Coos County, New Hampshire","407","86","338","82","69","35",
"0600000US3300774180","Stratford town, Coos County, New Hampshire","327","75","282","73","45","24",
"0600000US3300774500","Success township, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300776580","Thompson and Meserves purchase, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300780740","Wentworth location, Coos County, New Hampshire","8","8","8","8","0","12",
"0600000US3300784420","Whitefield town, Coos County, New Hampshire","1085","106","732","96","353","87",
"0600000US3300900580","Alexandria town, Grafton County, New Hampshire","737","84","688","83","49","26",
"0600000US3300902020","Ashland town, Grafton County, New Hampshire","979","125","585","117","394","105",
"0600000US3300903940","Bath town, Grafton County, New Hampshire","429","67","383","67","46","26",
"0600000US3300905060","Benton town, Grafton County, New Hampshire","110","32","104","33","6","6",
"0600000US3300905460","Bethlehem town, Grafton County, New Hampshire","1058","129","840","111","218","77",
"0600000US3300907540","Bridgewater town, Grafton County, New Hampshire","520","77","396","62","124","56",
"0600000US3300907700","Bristol town, Grafton County, New Hampshire","1374","109","968","123","406","120",
"0600000US3300908660","Campton town, Grafton County, New Hampshire","1198","179","1160","166","38","46",
"0600000US3300908980","Canaan town, Grafton County, New Hampshire","1532","139","1241","159","291","125",
"0600000US3300918740","Dorchester town, Grafton County, New Hampshire","199","82","186","80","13","10",
"0600000US3300922020","Easton town, Grafton County, New Hampshire","150","36","146","35","4","5",
"0600000US3300923860","Ellsworth town, Grafton County, New Hampshire","23","12","23","12","0","12",
"0600000US3300924340","Enfield town, Grafton County, New Hampshire","2106","226","1747","268","359","134",
"0600000US3300927300","Franconia town, Grafton County, New Hampshire","481","87","380","74","101","45",
"0600000US3300930820","Grafton town, Grafton County, New Hampshire","489","75","423","69","66","29",
"0600000US3300932180","Groton town, Grafton County, New Hampshire","202","41","194","40","8","10",
"0600000US3300933860","Hanover town, Grafton County, New Hampshire","3310","217","2266","214","1044","271",
"0600000US3300934820","Haverhill town, Grafton County, New Hampshire","1743","226","1314","203","429","159",
"0600000US3300935220","Hebron town, Grafton County, New Hampshire","312","55","280","49","32","20",
"0600000US3300936900","Holderness town, Grafton County, New Hampshire","835","144","660","116","175","78",
"0600000US3300940660","Landaff town, Grafton County, New Hampshire","182","27","156","26","26","15",
"0600000US3300941300","Lebanon city, Grafton County, New Hampshire","6468","391","3224","293","3244","350",
"0600000US3300941860","Lincoln town, Grafton County, New Hampshire","659","140","500","131","159","56",
"0600000US3300942020","Lisbon town, Grafton County, New Hampshire","657","102","462","105","195","50",
"0600000US3300942580","Littleton town, Grafton County, New Hampshire","2782","247","1551","250","1231","247",
"0600000US3300942820","Livermore town, Grafton County, New Hampshire","0","12","0","12","0","12",
"0600000US3300944100","Lyman town, Grafton County, New Hampshire","224","45","202","43","22","21",
"0600000US3300944260","Lyme town, Grafton County, New Hampshire","648","69","564","61","84","41",
"0600000US3300948980","Monroe town, Grafton County, New Hampshire","302","55","283","55","19","7",
"0600000US3300958340","Orange town, Grafton County, New Hampshire","116","25","114","26","2","3",
"0600000US3300958500","Orford town, Grafton County, New Hampshire","552","79","429","77","123","44",
"0600000US3300961060","Piermont town, Grafton County, New Hampshire","335","56","251","49","84","28",
"0600000US3300962660","Plymouth town, Grafton County, New Hampshire","2057","254","1158","214","899","251",
"0600000US3300965940","Rumney town, Grafton County, New Hampshire","538","55","406","47","132","52",
"0600000US3300974740","Sugar Hill town, Grafton County, New Hampshire","252","59","236","56","16","10",
"0600000US3300976740","Thornton town, Grafton County, New Hampshire","1206","127","1005","133","201","86",
"0600000US3300978740","Warren town, Grafton County, New Hampshire","354","65","299","60","55","29",
"0600000US3300979380","Waterville Valley town, Grafton County, New Hampshire","120","43","101","40","19","17",
"0600000US3300980500","Wentworth town, Grafton County, New Hampshire","382","75","336","75","46","24",
"0600000US3300987060","Woodstock town, Grafton County, New Hampshire","486","75","362","70","124","39",
"0600000US3301101300","Amherst town, Hillsborough County, New Hampshire","4482","246","4073","249","409","200",
"0600000US3301101700","Antrim town, Hillsborough County, New Hampshire","1073","96","868","119","205","68",
"0600000US3301104500","Bedford town, Hillsborough County, New Hampshire","8033","359","6700","361","1333","227",
"0600000US3301104900","Bennington town, Hillsborough County, New Hampshire","660","87","449","86","211","76",
"0600000US3301108100","Brookline town, Hillsborough County, New Hampshire","1853","110","1759","113","94","57",
"0600000US3301117780","Deering town, Hillsborough County, New Hampshire","679","80","602","89","77","36",
"0600000US3301127140","Francestown town, Hillsborough County, New Hampshire","561","77","536","76","25","22",
"0600000US3301129860","Goffstown town, Hillsborough County, New Hampshire","6475","324","5314","380","1161","297",
"0600000US3301131540","Greenfield town, Hillsborough County, New Hampshire","688","72","572","68","116","41",
"0600000US3301131940","Greenville town, Hillsborough County, New Hampshire","927","159","631","162","296","90",
"0600000US3301133700","Hancock town, Hillsborough County, New Hampshire","764","118","651","94","113","75",
"0600000US3301136180","Hillsborough town, Hillsborough County, New Hampshire","2160","284","1960","261","200","122",
"0600000US3301137140","Hollis town, Hillsborough County, New Hampshire","3367","210","3021","247","346","148",
"0600000US3301137940","Hudson town, Hillsborough County, New Hampshire","9752","401","8245","438","1507","306",
"0600000US3301142260","Litchfield town, Hillsborough County, New Hampshire","3015","137","2543","241","472","225",
"0600000US3301144580","Lyndeborough town, Hillsborough County, New Hampshire","639","61","596","52","43","46",
"0600000US3301145140","Manchester city, Hillsborough County, New Hampshire","49546","781","24411","908","25135","1086",
"0600000US3301146260","Mason town, Hillsborough County, New Hampshire","538","57","482","40","56","43",
"0600000US3301147540","Merrimack town, Hillsborough County, New Hampshire","10436","448","9295","442","1141","237",
"0600000US3301148020","Milford town, Hillsborough County, New Hampshire","6441","280","4149","410","2292","375",
"0600000US3301149140","Mont Vernon town, Hillsborough County, New Hampshire","878","59","815","59","63","38",
"0600000US3301150260","Nashua city, Hillsborough County, New Hampshire","36907","767","20798","715","16109","773",
"0600000US3301150740","New Boston town, Hillsborough County, New Hampshire","2087","177","1876","173","211","128",
"0600000US3301151940","New Ipswich town, Hillsborough County, New Hampshire","1824","184","1576","181","248","111",
"0600000US3301159940","Pelham town, Hillsborough County, New Hampshire","5005","260","4408","224","597","180",
"0600000US3301160580","Peterborough town, Hillsborough County, New Hampshire","2939","260","1651","278","1288","292",
"0600000US3301168820","Sharon town, Hillsborough County, New Hampshire","170","54","155","50","15","13",
"0600000US3301176260","Temple town, Hillsborough County, New Hampshire","509","98","406","97","103","49",
"0600000US3301179780","Weare town, Hillsborough County, New Hampshire","3594","244","3382","248","212","103",
"0600000US3301185220","Wilton town, Hillsborough County, New Hampshire","1646","211","1270","209","376","181",
"0600000US3301185940","Windsor town, Hillsborough County, New Hampshire","84","35","81","35","3","4",
"0600000US3301300660","Allenstown town, Merrimack County, New Hampshire","1811","195","1446","179","365","129",
"0600000US3301301460","Andover town, Merrimack County, New Hampshire","907","110","810","112","97","49",
