region_10,district_10,constituency_10,ward_10,total_candidates_10,ward_total_votes_10,ward_id_10,votes_AFP_10,votes_CCM_10,votes_CHADEMA_10,votes_CHAUSTA_10,votes_CUF_10,votes_DP_10,votes_JAHAZI_ASILIA_10,votes_NCCR_MAGEUZI_10,votes_NLD_10,votes_NRA_10,votes_other_10,votes_SAU_10,votes_TADEA_10,votes_TLP_10,votes_UDP_10,votes_UMD_10,votes_UPDP_10
jiji la arusha,arusha  mjini,baraa,odero charles oderos,1,907,51,,,907,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,baraa,paulo lotha laizer,1,1266,53,,1266,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,daraja ii,james peter ngungah ndarivoi,1,107,27,,,,,,,,107,,,,,,,,,
jiji la arusha,arusha  mjini,daraja ii,makanzo rwelemela makanzo,1,574,38,,,,,,,,,,,,,,574,,,
jiji la arusha,arusha  mjini,daraja ii,msangi bashiri swedi,1,3520,46,,3520,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,daraja ii,solomon daniel kitashu,1,2396,64,,,2396,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,elerai,bayo john gilbert,1,4630,8,,,4630,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,elerai,laizer losioki moikani,1,4063,33,,4063,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,elerai,mbogo isaya loda,1,109,43,,,,,,,,,,,,,,109,,,
jiji la arusha,arusha  mjini,engutoto,alfred kimani mollel,1,763,4,,763,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,engutoto,elibariki michael malley,1,848,15,,,848,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,engutoto,samwel anthon muniko,1,16,61,,,,,,,,,,,,,,16,,,
jiji la arusha,arusha  mjini,kaloleni,abdallah shaaban said,1,181,1,,,,,181,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kaloleni,charles philipo mpanda,1,2969,9,,,2969,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kaloleni,chogga mwahija khalfani,1,79,11,,,,,,,,,,,,,,79,,,
jiji la arusha,arusha  mjini,kaloleni,kileo jubilate shileitiwa,1,1648,32,,1648,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kaloleni,ngilisho simon pauli,1,7,49,,,,,,,,,,,7,,,,,,
jiji la arusha,arusha  mjini,kati,abdi abdulrasul tojo,1,1398,2,,1398,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kati,hassani juma shepasy,1,13,21,,,,,13,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kati,maabadi mohamedi ramadhani,1,7,37,,,,,,,,,,,,,,7,,,
jiji la arusha,arusha  mjini,kati,malack mbora lema,1,14,39,,,,,,,,,,,14,,,,,,
jiji la arusha,arusha  mjini,kati,simba seif salum,1,626,62,,,626,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kimandolu,elieza stephano mlaki,1,19,16,,,,,,,,,,,,,,19,,,
jiji la arusha,arusha  mjini,kimandolu,heddi lawrence kilua,1,1558,22,,1558,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kimandolu,mallah estomih jonas,1,5870,40,,,5870,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,lemara,karim ephram moshi,1,1971,30,,1971,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,lemara,viola lazaro likindikoki,1,1668,65,,,1668,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,levolosi,ally vuai makame,1,98,5,,,,,98,,,,,,,,,,,,
jiji la arusha,arusha  mjini,levolosi,amosi ndeshiso mwanga,1,1776,7,,1776,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,levolosi,ester salimu msuya,1,31,17,,,,,,,,,,,31,,,,,,
jiji la arusha,arusha  mjini,levolosi,leila hamisi ramadhani,1,28,34,,,,,,,,,,28,,,,,,,
jiji la arusha,arusha  mjini,levolosi,lugendo allan benjamin,1,77,36,,,,,,,,,,,,,,77,,,
jiji la arusha,arusha  mjini,levolosi,nanyaro ephata japhet,1,2530,48,,,2530,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,moshono,masamaki emmanuel mollel,1,1263,42,,,1263,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,moshono,paul peter matthyesen,1,2344,52,,2344,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,moshono,peter shirima boysafi,1,29,55,,,,,,,,,,,,,,29,,,
jiji la arusha,arusha  mjini,ngarenaro,isack anandumi mushi,1,2033,24,,2033,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,ngarenaro,isaya doita harri,1,3250,25,,,3250,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,ngarenaro,rashid ameir mdungu,1,112,56,,,,,,,,,,,,,,112,,,
jiji la arusha,arusha  mjini,ngarenaro,zaruna issa,1,56,66,,,,,,,,,,,,,56,,,,
jiji la arusha,arusha  mjini,olasiti,golugwa peter rashid,1,262,20,,,,,,,,,,,,,,262,,,
jiji la arusha,arusha  mjini,olasiti,katamboi ishmael olodi,1,2176,31,,2176,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,olasiti,rehema mohamed selemani,1,1870,58,,,1870,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,oloirien,gaudence vincent lyimo,1,2694,18,,2694,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,oloirien,sabina francis peter,1,1684,60,,,1684,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sekei,chrispin p tarimo,1,1793,12,,,1793,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sekei,mushi agrey shitaeli,1,1437,47,,1437,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sekei,sirikwa emmanuel petro,1,157,63,,,,,,,,157,,,,,,,,,
jiji la arusha,arusha  mjini,sokoni,kalisti lazaro burkhay,1,2878,29,,2878,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sokoni,michael ngokoni kivuyo,1,7907,45,,,,,,,,,,,,,,7907,,,
jiji la arusha,arusha  mjini,sokoni,rashid jaralya mkama,1,139,57,,,,,,,,,,139,,,,,,,
jiji la arusha,arusha  mjini,sombetini,alphonce chemu mawazo,1,4002,6,,4002,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sombetini,george gadiel kimaro,1,17,19,,,,,,,,,,17,,,,,,,
jiji la arusha,arusha  mjini,sombetini,hussein ibrahim mvungi,1,262,23,,,,,262,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sombetini,miagie emanuel lobulu,1,1574,44,,,,,,,,,,,,,,1574,,,
jiji la arusha,arusha  mjini,sombetini,peter paul homange,1,34,54,,,,,,,,34,,,,,,,,,
jiji la arusha,arusha  mjini,sombetini,rogart stanley shayo,1,3753,59,,,3753,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,terrat,chipaka abraham moova,1,281,10,,,,,,,,,,,,,,281,,,
jiji la arusha,arusha  mjini,terrat,credo adamu k. joseph,1,640,13,,,640,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,terrat,julius william ole sakeyan,1,2483,28,,2483,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,themi,edinah patrick mwamtobe,1,51,14,,,,,51,,,,,,,,,,,,
jiji la arusha,arusha  mjini,themi,lobora perto ndarpoi,1,1114,35,,1114,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,themi,ngowi reuben ramadhani,1,1543,50,,,1543,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,unga limited,adalbert alfred kanyabugabo,1,1249,3,,,1249,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,unga limited,issa saidi omary,1,2472,26,,2472,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,unga limited,martha simon mwakidebe,1,1744,41,,,,,,,,,,,,,,1744,,,
jiji la mbeya,mbeya mjini,forest,boyd nazareth mwabulanga,1,871,72,,,871,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,forest,lugala luhangano daniel,1,451,107,,451,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,forest,mbika ally abdulrahman,1,60,116,,,,,60,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,ghana,aggabo twalondaga mwakatobe,1,394,67,,,,,,,,394,,,,,,,,,
jiji la mbeya,mbeya mjini,ghana,chavaligino edward angelus,1,614,73,,614,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,ghana,kandonga japhet aggrey,1,371,98,,,371,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iganjo,boniphace james lyembo,1,1009,71,,1009,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iganjo,john mashauri ngeka,1,581,92,,,581,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iganzo,chengula malumba byalugaba,1,1150,74,,1150,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iganzo,uswege kamongile fullikah,1,1729,154,,,1729,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,igawilo,fungo yesaya chieforder,1,1717,83,,1717,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,igawilo,tweve stanle john,1,1365,153,,,1365,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,ilemi,joseph mwanangwa mlozi,1,1137,94,,1137,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,ilemi,mwandalima furaha anangisye,1,2690,134,,,2690,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,ilomba,akarro mawina felix,1,1716,68,,1716,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,ilomba,mtitu beda focus,1,70,120,,,,,,,,,,,,,,70,,,
jiji la mbeya,mbeya mjini,ilomba,mwakilasa akabikulya dickson,1,3712,130,,,3712,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,isanga,issa dor mohamed,1,1405,91,,1405,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,isanga,mkussa felix dominic,1,899,118,,,899,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,isyesye,mwansanga deo japheti,1,817,135,,817,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,isyesye,sanke enock seso,1,895,145,,,895,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,itagano,amani tusive hailonje,1,288,69,,,,,,,,288,,,,,,,,,
jiji la mbeya,mbeya mjini,itagano,ndalama mbwiga abeli,1,355,137,,355,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,itende,jojo japhary jane,1,332,93,,,332,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,itende,kibona philimoni westoni,1,547,103,,547,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,itezi,kasimu stephano yala,1,1045,101,,,1045,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,itezi,maemba alexander frank,1,1506,111,,1506,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,itiji,gwakisa james mwakipesile,1,352,87,,,352,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,itiji,kapunga athanas sebastian,1,868,100,,868,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,itiji,lukasa mosses twingilege,1,13,109,,,,,,,,,,,,,,13,,,
jiji la mbeya,mbeya mjini,iwambi,foya edhillon benjamin,1,30,82,,,30,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iwambi,mbingu shams hamad,1,1213,117,,,,,1213,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iwambi,mwamwasi mwakilasa gabriel,1,1216,133,,1216,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iyela,mwaigomole oseah janah,1,2423,122,,,2423,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iyela,mwakagugu bernard kajondo,1,335,127,,,,,,,,335,,,,,,,,,
jiji la mbeya,mbeya mjini,iyela,nkwenzulu dominic majibu,1,3274,139,,3274,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iyunga,ambakisye mwaitulo mwamluku,1,732,70,,,732,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iyunga,godfrey devis mwandulusya,1,1145,85,,,,,,,,,,,1145,,,,,,
jiji la mbeya,mbeya mjini,iyunga,kipepeo imani mwakipesile,1,874,105,,874,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iziwa,kefas changani mwasote,1,889,102,,889,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,iziwa,steven john mgalula,1,21,150,,,,,,,,,,,,,,21,,,
jiji la mbeya,mbeya mjini,kalobe,haruna joseph mwaipela,1,1626,88,,1626,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,kalobe,lutufyo mwasungo kibona,1,29,110,,,,,,,,29,,,,,,,,,
jiji la mbeya,mbeya mjini,kalobe,richard japhet kanyasa,1,902,143,,,902,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,maanga,daniel samson mwakisyala,1,915,76,,915,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,maanga,mwamusiku eliah christopher,1,842,132,,,842,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mabatini,edward yoramu sanga,1,475,79,,,475,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mabatini,patrick ecksoni mbilinyi,1,1145,140,,1145,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,maendeleo,mustafa haji kurwa,1,488,121,,,,,488,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,maendeleo,shiyo modest pantaleo,1,527,148,,527,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,majengo,cletus jerome makwinya,1,21,75,,,,,21,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,majengo,mwasampeta josephat isaac,1,266,136,,,266,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,majengo,shayo fransis johakim,1,569,147,,569,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mbalizi road,dominiki prosper maliki,1,656,77,,656,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mbalizi road,douglas mwalyambwile kapusi,1,492,78,,,492,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mwakibete,kapasi moses hansi,1,1459,99,,1459,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mwakibete,kyando azael luvanda,1,47,106,,,,,47,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mwakibete,lukas elly mwampiki,1,2263,108,,,2263,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mwakibete,mwakibete andulile kapaga,1,100,129,,,,,,,,100,,,,,,,,,
jiji la mbeya,mbeya mjini,mwansanga,makwale hoteli japheti,1,123,112,,123,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mwansanga,mwakabaya george gilion,1,150,126,,,,,,,,150,,,,,,,,,
jiji la mbeya,mbeya mjini,mwansekwa,gaspar jimmy ngonela,1,324,84,,324,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,mwansekwa,selvesta silinjanje mwamboneke,1,317,146,,,,,,,,,,,,,,317,,,
jiji la mbeya,mbeya mjini,mwansekwa,zakayo victoriano mwalingo,1,18,156,,,18,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nonde,gordian ketapo mwambasi,1,341,86,,341,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nonde,property anangisye bukuku,1,82,141,,,,,82,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nonde,samile japhet mwanganya,1,267,144,,,267,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nsalaga,mandondo timoth mwanamasanje,1,1293,113,,,1293,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nsalaga,mpwani kabuje edward,1,1429,119,,1429,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nsoho,hezron sokoni mwansongole,1,231,89,,,231,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nsoho,juma samsoni simbeyanje,1,355,95,,355,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nsoho,martha william mwambipile,1,6,114,,,,,,,,,,,,,,6,,,
jiji la mbeya,mbeya mjini,nzovwe,mbembela george harrison,1,69,115,,,,,69,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nzovwe,mwaijande genner issah,1,1543,123,,1543,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,nzovwe,mwakalobo hezroni martini,1,2158,128,,,2158,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,ruanda,enea richard mbengale,1,23,80,,,,,,,,,,,,,,,,,23
jiji la mbeya,mbeya mjini,ruanda,kilato albert hubert,1,3548,104,,,3548,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,ruanda,mwaitenda ephraim angisenye,1,1624,125,,1624,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,ruanda,mwakipesile nuru jacobu,1,40,131,,,,,,,,,,,,,,40,,,
jiji la mbeya,mbeya mjini,ruanda,pyuti mwambone mwaiwe,1,60,142,,,,,,,,60,,,,,,,,,
jiji la mbeya,mbeya mjini,ruanda,yassin joseph mrotwa,1,653,155,,,,,653,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,sinde,fanuel lwitiko kyanula,1,764,81,,,764,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,sinde,syonga white charles,1,825,152,,825,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,sisimba,kajigili geofrey angolwisye,1,623,96,,,623,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,sisimba,mwaikambo kasagule suma,1,500,124,,500,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,tembela,ngao mzalendo mwanibanza,1,269,138,,,,,,,,269,,,,,,,,,
jiji la mbeya,mbeya mjini,tembela,siulanga petro japhet,1,237,149,,237,,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,tembela,suleimani sapi mposole,1,24,151,,,24,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,uyole,hugo samali kimaryo,1,1197,90,,,1197,,,,,,,,,,,,,,
jiji la mbeya,mbeya mjini,uyole,kambi ngela mwasoni,1,1206,97,,1206,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,bugogwa,elias nyaonge busungu,1,102,159,,,,,102,,,,,,,,,,,,
jiji la mwanza,ilemela,bugogwa,hatari deus nyaluba,1,1304,164,,,1304,,,,,,,,,,,,,,
jiji la mwanza,ilemela,bugogwa,swila dede swila,1,4258,184,,4258,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,buswelu,kanga yakobo robart,1,1792,168,,,1792,,,,,,,,,,,,,,
jiji la mwanza,ilemela,buswelu,mpemba thobias clement,1,1963,176,,1963,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,ilemela,chenyenge marietha cosimas,1,2724,158,,,2724,,,,,,,,,,,,,,
jiji la mwanza,ilemela,ilemela,gabriel kazimil mahenda,1,2671,162,,2671,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,ilemela,kamani shigela tunge,1,554,166,,,,,554,,,,,,,,,,,,
jiji la mwanza,ilemela,kirumba,kasala benson muhana,1,11,170,,,,,,,,,,,,,,,11,,
jiji la mwanza,ilemela,kirumba,manoko novath emmanuel,1,3943,172,,,3943,,,,,,,,,,,,,,
jiji la mwanza,ilemela,kirumba,nurdini anasi mbaji,1,2447,179,,2447,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,kirumba,wessa juma nabahani,1,459,185,,,,,459,,,,,,,,,,,,
jiji la mwanza,ilemela,kitangiri,jamali yahaya katima,1,200,165,,,,,200,,,,,,,,,,,,
jiji la mwanza,ilemela,kitangiri,matata henry mtinda,1,2185,174,,,2185,,,,,,,,,,,,,,
jiji la mwanza,ilemela,kitangiri,mwl kisyeri marwa chacha,1,525,178,,,,,,,,,,,,,,525,,,
jiji la mwanza,ilemela,kitangiri,said jumanne makallah,1,1630,181,,1630,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,nyakato,fereji ngongo hassan,1,635,160,,,,,635,,,,,,,,,,,,
jiji la mwanza,ilemela,nyakato,kandawala fue julius,1,4855,167,,4855,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,nyakato,makoba sharifa ibrahim,1,134,171,,,,,,,,,,,,,,134,,,
jiji la mwanza,ilemela,nyakato,manyerere josephat kanyonyi,1,7031,173,,,7031,,,,,,,,,,,,,,
jiji la mwanza,ilemela,nyamanoro,feruyzi hamisi mussa,1,4138,161,,4138,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,nyamanoro,hassan ramadhan hassan,1,608,163,,,,,608,,,,,,,,,,,,
jiji la mwanza,ilemela,nyamanoro,kapera mwombeki abubakari,1,4987,169,,,4987,,,,,,,,,,,,,,
jiji la mwanza,ilemela,nyamanoro,sandar selemani abdallah,1,776,182,,,,,,,,,,,,,,776,,,
jiji la mwanza,ilemela,pasiansi,brown rose albert,1,3804,157,,,3804,,,,,,,,,,,,,,
jiji la mwanza,ilemela,pasiansi,mayunga rosemary onesmo,1,3126,175,,3126,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,pasiansi,shabani haji itutu,1,422,183,,,,,422,,,,,,,,,,,,
jiji la mwanza,ilemela,sangabuye,mulunga renatus bahebe,1,2076,177,,2076,,,,,,,,,,,,,,,
jiji la mwanza,ilemela,sangabuye,posian pastory masalago,1,1181,180,,,,,1181,,,,,,,,,,,,
jiji la mwanza,nyamagana,buhongwa,benedicto dominick massaga,1,43,191,,,,,43,,,,,,,,,,,,
jiji la mwanza,nyamagana,buhongwa,reuben kasanga nzali,1,1844,219,,1844,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,buhongwa,taligulla deogratias seko,1,827,223,,,827,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,butimba,athuman fikiri msagikwa,1,45,187,,,,,,,,,,,,,,45,,,
jiji la mwanza,nyamagana,butimba,masunu dismas bwire,1,3501,214,,3501,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,butimba,ngwinamila bulamile robert,1,3078,215,,,3078,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,butimba,oigo milton lucas,1,627,217,,,,,627,,,,,,,,,,,,
jiji la mwanza,nyamagana,igogo,christopher juma matiku,1,1128,197,,,1128,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,igogo,doto husseni malago,1,2050,199,,,,,2050,,,,,,,,,,,,
jiji la mwanza,nyamagana,igogo,john augustine minja,1,3805,204,,3805,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,igoma,chagulani adams ibrahimu,1,5446,193,,,5446,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,igoma,erasto nyanga susani,1,45,202,,,,,,,,,,,,,,,45,,
jiji la mwanza,nyamagana,igoma,mabula sohela dionis,1,2983,209,,2983,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,igoma,makoye joseph ngika,1,68,212,,,,,68,,,,,,,,,,,,
jiji la mwanza,nyamagana,isamilo,chege hamisi athumani,1,232,195,,,,,232,,,,,,,,,,,,
jiji la mwanza,nyamagana,isamilo,nyamasiriri charles marwa,1,1992,216,,1992,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,isamilo,pius bisangirwa boniface,1,2168,218,,,2168,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,mahina,bazil dotto bazil,1,104,190,,,,,104,,,,,,,,,,,,
jiji la mwanza,nyamagana,mahina,bwire james marwa,1,3685,192,,3685,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,mahina,charles marwa chinchibela,1,3745,194,,,3745,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,mahina,vailet john ndagiwe,1,29,224,,,,,,,29,,,,,,,,,,
jiji la mwanza,nyamagana,mahina,yombo peter mlinda,1,224,226,,,,,,,,,,,,,,,224,,
jiji la mwanza,nyamagana,mbugani,bahebe ezekiel emmanuel,1,3980,188,,3980,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,mbugani,bakari rajabu ramadhani,1,91,189,,,,,,,,,,,,,,91,,,
jiji la mwanza,nyamagana,mbugani,kibwana ramadhan kibwana,1,465,206,,,,,465,,,,,,,,,,,,
jiji la mwanza,nyamagana,mbugani,kijuu hashim hassani,1,4279,208,,,4279,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,mirongo,daudi suleiman mkama,1,725,198,,,,,725,,,,,,,,,,,,
jiji la mwanza,nyamagana,mirongo,yahya ibrahim nyaonge,1,705,225,,705,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,mkolani,edward zakariah magembe,1,1485,200,,,1485,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,mkolani,kijonjoo abdul ally,1,110,207,,,,,110,,,,,,,,,,,,
jiji la mwanza,nyamagana,mkolani,mabula stanslaus shing'oma,1,2845,210,,2845,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,mkolani,manengelo andrea john,1,133,213,,,,,,,,,,,,,,,133,,
jiji la mwanza,nyamagana,mkuyuni,akida almasi omary,1,107,186,,,,,107,,,,,,,,,,,,
jiji la mwanza,nyamagana,mkuyuni,fashion charles lulinga,1,1826,203,,1826,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,mkuyuni,jonathani john foya,1,4,205,,,,,,,,,,,,,,4,,,
jiji la mwanza,nyamagana,mkuyuni,shigemelo james makelemo,1,1048,222,,,1048,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,pamba,chomba hussein faraula,1,365,196,,,,,365,,,,,,,,,,,,
jiji la mwanza,nyamagana,pamba,elizabeth charles madata,1,29,201,,,,,,,29,,,,,,,,,,
jiji la mwanza,nyamagana,pamba,madirisha masalu rangula,1,33,211,,,,,,,,,,,,,,33,,,
jiji la mwanza,nyamagana,pamba,rodrick john ngoye,1,2554,220,,2554,,,,,,,,,,,,,,,
jiji la mwanza,nyamagana,pamba,samuel range mwirabi,1,2631,221,,,2631,,,,,,,,,,,,,,
jiji la tanga,tanga mjini,central,khalid abdallah mohamed,1,1066,250,,1066,,,,,,,,,,,,,,,
jiji la tanga,tanga mjini,central,patrick gwai karera,1,266,285,,,266,,,,,,,,,,,,,,
jiji la tanga,tanga mjini,central,zakii mbaraka omary,1,125,299,,,,,125,,,,,,,,,,,,
jiji la tanga,tanga mjini,chongoleani,mswahili njama aly,1,890,273,,,,,890,,,,,,,,,,,,
jiji la tanga,tanga mjini,chongoleani,omari kombo shali,1,887,282,,887,,,,,,,,,,,,,,,
jiji la tanga,tanga mjini,chumbageni,chambo telesphory thaddeus,1,2403,237,,2403,,,,,,,,,,,,,,,
jiji la tanga,tanga mjini,chumbageni,saad muhamed ahmad,1,1631,288,,,,,1631,,,,,,,,,,,,
jiji la tanga,tanga mjini,duga,anthony damian lyoba,1,21,230,,,,,,,,,,,,,,21,,,
jiji la tanga,tanga mjini,duga,khalidi rashidi hamza,1,365,251,,,365,,,,,,,,,,,,,,
jiji la tanga,tanga mjini,duga,kombo rashidi haruna,1,2677,258,,2677,,,,,,,,,,,,,,,
jiji la tanga,tanga mjini,duga,zahoro said ali,1,1343,298,,,,,1343,,,,,,,,,,,,
jiji la tanga,tanga mjini,kiomoni,mayalla masota george,1,1058,266,,1058,,,,,,,,,,,,,,,
jiji la tanga,tanga mjini,kiomoni,mwanaisha mohammed omari,1,126,276,,,126,,,,,,,,,,,,,,
jiji la tanga,tanga mjini,kiomoni,ramadhani hamisi rashidi,1,385,286,,,,,385,,,,,,,,,,,,
jiji la tanga,tanga mjini,kirare,abbas haji kibwana,1,474,227,,,,,474,,,,,,,,,,,,
jiji la tanga,tanga mjini,kirare,lasso joseph lasso,1,803,260,,803,,,,,,,,,,,,,,,
