latitude,longitude,id,age,female,enumerator_id
.60821289,44.579941,733,31,1,1
.60827738,44.58268,712,44,0,1
.6084851,44.581501,725,61,1,1
.6084851,44.581501,727,41,0,1
.6084851,44.581501,726,44,0,1
.60877842,44.582569,736,56,0,1
.60882747,44.583271,682,37,1,2
.6089583,44.578091,709,43,1,2
.60902947,44.584099,656,57,1,2
.60902947,44.584099,655,46,1,2
.60909343,44.578941,738,57,1,2
.60909343,44.578941,737,67,1,2
.60928673,44.579769,722,37,0,3
.60971868,44.583542,749,50,1,3
.60971868,44.583542,748,37,0,3
.6100325,44.582699,662,37,1,3
.61008769,44.58033,739,65,0,3
.6104117,44.579681,670,67,0,3
.6104117,44.579681,671,42,0,4
.61051917,44.584122,668,39,1,4
.61051917,44.584122,669,36,0,4
.61082578,44.584759,745,44,0,4
.61082578,44.584759,744,70,0,4
.6108954,44.58527,711,63,0,4
.61091751,44.57674,717,40,0,5
.61091751,44.57674,716,61,1,5
.61091751,44.57674,715,35,1,5
.61106801,44.583939,734,37,0,5
.61189181,44.584221,702,55,0,5
.61189181,44.584221,703,62,1,5
.61189181,44.584221,704,49,1,6
.61373168,44.573299,756,68,0,6
.61373168,44.573299,757,46,0,6
.6140483,44.57394,747,56,1,6
.61419332,44.586571,681,55,1,6
.61429888,44.572479,764,30,0,6
.61429888,44.572479,763,62,1,7
.61431301,44.575481,723,59,1,7
.61431301,44.575481,724,40,0,7
.6149652,44.573299,708,54,0,7
.61544001,44.57431,701,68,1,7
.61545002,44.574322,719,59,1,7
.61616361,44.573502,672,66,0,8
.61664999,44.57325,696,59,1,8
.61670828,44.573181,695,41,1,8
.61754829,44.589722,752,49,0,8
.61754829,44.589722,751,62,0,8
.61754829,44.589722,750,51,0,8
.6175617,44.586128,661,62,1,9
.61761999,44.579891,718,68,1,9
.61772329,44.58728,753,39,1,9
.61778003,44.582661,743,46,0,9
.61796999,44.5788,710,58,1,9
.61828327,44.57597,658,60,1,9
.61828327,44.57597,657,47,1,10
.61828673,44.582539,689,63,0,10
.61828673,44.582539,688,67,0,10
.61859721,44.575008,667,60,0,10
.61861998,44.573158,713,34,1,10
.61861998,44.573158,714,69,1,10
.61886168,44.588772,677,31,1,11
.61897999,44.580238,659,59,0,11
.6192317,44.581711,686,40,1,11
.6196804,44.582298,692,51,0,11
.6196804,44.582298,694,65,0,11
.6196804,44.582298,693,46,0,11
.6197533,44.5867,665,44,1,12
.6197533,44.5867,664,39,0,12
.6197533,44.5867,666,61,0,12
.61995649,44.57703,754,62,0,12
.61995649,44.57703,755,36,1,12
.62007672,44.589489,687,56,0,12
.62018329,44.58287,729,58,0,13
.62018329,44.58287,728,70,0,13
.62079,44.586491,765,39,0,13
.62080282,44.577469,674,55,0,13
.62080282,44.577469,675,63,1,13
.62081671,44.58551,721,48,0,13
.62081671,44.58551,720,37,1,14
.62086499,44.588451,735,47,1,14
.62106329,44.58773,758,70,1,14
.62106329,44.58773,759,68,1,14
.62110829,44.589039,684,35,1,14
.62110829,44.589039,683,44,1,14
.6216467,44.586479,663,45,1,15
.62165332,44.587921,685,30,0,15
.62173003,44.587231,705,35,1,15
.62185329,44.585232,761,31,1,15
.62210631,44.582569,699,59,0,15
.62210631,44.582569,700,44,1,15
.62220669,44.585918,746,42,0,16
.62224829,44.5863,676,66,1,16
.62244099,44.578388,673,33,1,16
.62250167,44.586868,740,32,1,16
.62250167,44.586868,741,64,0,16
.62250167,44.586868,742,55,1,16
.62264669,44.58815,680,46,1,17
.62266999,44.581902,678,37,0,17
.62290001,44.587078,660,64,0,17
.62349999,44.58604,679,53,0,17
.62372673,44.588039,698,66,1,17
.62372673,44.588039,697,62,0,17
.62374169,44.58374,691,60,1,18
.62404001,44.58651,707,44,0,18
.62404001,44.58651,706,64,1,18
.62439489,44.583519,690,67,1,18
.62459832,44.58559,730,50,1,18
.62459832,44.58559,731,58,1,18
.62553829,44.580059,732,65,0,19
.6257906,44.580811,760,57,1,19
.62601811,44.58004,762,43,0,19
