ward_id_15,region_15,district_15,ward_15,region_10,district_10,ward_10,parent_overlap_pct,ward_id_10
109,arusha,wilaya ya meru,usa river,,,,,
110,arusha,wilaya ya meru,uwiro,,,,,
111,arusha,wilaya ya monduli,engaruka,,,,,
112,arusha,wilaya ya monduli,engutoto,,,,,
113,arusha,wilaya ya monduli,esilalei,,,,,
114,arusha,wilaya ya monduli,lashaine,,,,,
115,arusha,wilaya ya monduli,lemooti,,,,,
116,arusha,wilaya ya monduli,lepurko,,,,,
117,arusha,wilaya ya monduli,lolkisale,,,,,
118,arusha,wilaya ya monduli,majengo,,,,,
119,arusha,wilaya ya monduli,makuyuni,,,,,
120,arusha,wilaya ya monduli,meserani,,,,,
121,arusha,wilaya ya monduli,mfereji,,,,,
122,arusha,wilaya ya monduli,migungani,,,,,
123,arusha,wilaya ya monduli,moita,,,,,
124,arusha,wilaya ya monduli,monduli juu,,,,,
125,arusha,wilaya ya monduli,monduli mjini,,,,,
126,arusha,wilaya ya monduli,mswakini,,,,,
127,arusha,wilaya ya monduli,mto wa mbu,,,,,
128,arusha,wilaya ya monduli,naalarami,,,,,
129,arusha,wilaya ya monduli,selela,,,,,
130,arusha,wilaya ya monduli,sepeko,,,,,
131,arusha,wilaya ya ngorongoro,alailelai,,,,,
132,arusha,wilaya ya ngorongoro,alaitolei,,,,,
133,arusha,wilaya ya ngorongoro,arash,,,,,
134,arusha,wilaya ya ngorongoro,digodigo,,,,,
135,arusha,wilaya ya ngorongoro,enduleni,,,,,
136,arusha,wilaya ya ngorongoro,engaresero,,,,,
137,arusha,wilaya ya ngorongoro,enguserosambu,,,,,
138,arusha,wilaya ya ngorongoro,eyasi,,,,,
139,arusha,wilaya ya ngorongoro,kakesio,,,,,
140,arusha,wilaya ya ngorongoro,kirangi,,,,,
141,arusha,wilaya ya ngorongoro,maaloni,,,,,
142,arusha,wilaya ya ngorongoro,malambo,,,,,
143,arusha,wilaya ya ngorongoro,misigyo,,,,,
144,arusha,wilaya ya ngorongoro,nainokanoka,,,,,
145,arusha,wilaya ya ngorongoro,naiyobi,,,,,
146,arusha,wilaya ya ngorongoro,ngoile,,,,,
