hh1,hh2,b04_district,strate,b05_region,b06_departemen,b07_souspref,b08_commune,b09_zd,b10_nomvillag,b11_quartcpt,milieu,pop_density
376,10,3,san-pedro,san-pedro,san-pedro,grand-bereby,communal,30,GRAND BEREBY,BEBE,Urbain,233.7944593386953
388,6,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60230,DJIRO GNEPAHIO,SOKOURANI,Rural,233.7944593386953
388,8,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60230,DJIRO GNEPAHIO,SOKOURANI,Rural,233.7944593386953
380,4,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,160,SAN PEDRO,SONOUKO,Urbain,233.7944593386953
390,9,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60770,WATTE,BELEM2,Rural,233.7944593386953
382,5,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1030,SAN PEDRO,ZIMBABWE,Urbain,233.7944593386953
373,2,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60780,GROBONOU DAN,,Rural,233.7944593386953
386,6,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60090,GOREKE,KROUMEN,Rural,233.7944593386953
387,6,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60220,DJIRO GNEPAHIO,ECOLE,Rural,233.7944593386953
388,7,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,60230,DJIROGNEPAHIO,SOKOURANI,Rural,233.7944593386953
388,2,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60230,DJIRO GNEPAHIO,KROUMEN,Rural,233.7944593386953
374,5,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60800,NONOUAN,NONOUAN,Rural,233.7944593386953
371,9,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,40130,GABIADJI,DIOULA,Urbain,233.7944593386953
364,1,3,san-pedro,san-pedro,san-pedro,doba,non communal,60140,DOBA,PETIT PARIS,Rural,233.7944593386953
374,11,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60800,NONOUA,,Rural,233.7944593386953
371,5,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,40130,GABIADJI,DIOULA,Urbain,233.7944593386953
387,1,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,60220,DJIROGNEPAHIO,QUARTIER KROUMEN,Rural,233.7944593386953
364,7,3,san-pedro,san-pedro,san-pedro,doba,non communal,60140,DAGADJI,PETIT PARIS,Rural,233.7944593386953
373,3,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60780,GROBONOU DAN,GROBONOU DAN,Rural,233.7944593386953
385,3,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,900,SAN PEDRO,BARDOT,Urbain,233.7944593386953
381,1,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,170,SANS PEDRO,LAC,Urbain,233.7944593386953
365,8,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADJI,JOSEPH CARREFOUR,Rural,233.7944593386953
369,3,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,60010,MANA,MANA,Rural,233.7944593386953
378,10,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,378,KAKO,SINALYKRO,Rural,233.7944593386953
387,7,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60220,DJIRO GNEPAHIO,ECOLE,Rural,233.7944593386953
384,3,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1440,SAN,CMA,Urbain,233.7944593386953
381,11,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,170,SAN PEDRO,LAC,Urbain,233.7944593386953
364,11,3,san-pedro,san-pedro,san-pedro,doba,non communal,60140,DAGADJI,PETIT PLATEAU,Rural,233.7944593386953
365,12,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADJI,LOBI YAO,Rural,233.7944593386953
370,11,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60300,MAGNERY,OUSMANEKRO,Rural,233.7944593386953
381,6,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,170,SANS PEDRO,LAC,Urbain,233.7944593386953
369,12,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60010,MANA,MANA,Rural,233.7944593386953
373,5,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60780,GROBONOU DAN,GROBONOU DAN,Rural,233.7944593386953
390,6,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60770,WATTE,BELEM 2,Rural,233.7944593386953
367,5,3,san-pedro,san-pedro,san-pedro,doba,non communal,60539,GLIGBEADJI,,Rural,233.7944593386953
366,8,3,san-pedro,san-pedro,san-pedro,doba,non communal,60250,DABADJI,BRAHIMAKRO,Rural,233.7944593386953
387,8,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60220,DJIRO NEPAHIO,ECOLE,Rural,233.7944593386953
388,11,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60230,DJIRO GNEPAHIO,DIOULABOUGOU,Rural,233.7944593386953
375,1,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60810,,,Rural,233.7944593386953
379,6,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,60980,ADJAMENE,ADJAMENE,Rural,233.7944593386953
386,3,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60090,GOREKE,KROUMIN,Rural,233.7944593386953
370,4,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,60300,MAGNERY,OUSOUMANDOUGOU,Rural,233.7944593386953
373,6,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60780,GROBONOU DAN,,Rural,233.7944593386953
374,4,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60800,NONOUAN,NONOUAN,Rural,233.7944593386953
380,11,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,74,SANOKO,LAC,Urbain,233.7944593386953
377,4,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,60180,OUESSEKE,OUESSEKE,Rural,233.7944593386953
385,12,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,900,SAN PEDRO,BADOT,Urbain,233.7944593386953
380,5,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,160,SAN PEDRO,SONOUKO,Urbain,233.7944593386953
371,7,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,40130,GABIADJI,DIOULA,Urbain,233.7944593386953
385,5,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,900,BADOT,BADOT,Urbain,233.7944593386953
385,10,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,900,SAN PEDRO,BARDOT,Urbain,233.7944593386953
381,10,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,170,LAC,LAC,Urbain,233.7944593386953
378,7,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,60420,KAKO,DESSEMBA,Rural,233.7944593386953
375,9,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60810,NONOUA,TCHEGBEKRO,Rural,233.7944593386953
381,8,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,170,SANS PEDRO,LAC,Urbain,233.7944593386953
375,12,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60810,NONOUA,BOFLAPLA,Rural,233.7944593386953
383,10,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1200,SAN PEDRO,SOLEIL,Urbain,233.7944593386953
379,10,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,60980,ADJAMENE,ADJAMENE,Rural,233.7944593386953
373,9,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60780,GROBONOU DAN,GROBONOU DAN,Rural,233.7944593386953
365,6,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADJI,GERMAINKRO,Rural,233.7944593386953
390,10,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60770,WATTE,BELEM 2,Rural,233.7944593386953
382,7,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1030,SAN PEDRO,ZIMBABWE,Urbain,233.7944593386953
374,1,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60800,NONOUA,,Rural,233.7944593386953
373,7,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60780,GROBONOU DAN,GROBONOU DAN,Rural,233.7944593386953
384,9,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1440,SAN PEDRO,THANRY OU CMA,Urbain,233.7944593386953
369,11,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,60010,MANA,MANA,Rural,233.7944593386953
388,10,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60230,DJIRO GNEPAHIO,DIOULABOUGOU,Rural,233.7944593386953
389,4,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60620,MOUSSADOUGOU,JERUSALEM,Rural,233.7944593386953
384,5,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1440,SAN PEDRO,THANRI OU CMA,Urbain,233.7944593386953
384,10,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1440,SAN PEDRO,THANRI OU CMA,Urbain,233.7944593386953
365,9,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADJI,JEOSEPHE CAREFOUR,Rural,233.7944593386953
383,11,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1200,SAN PEDRO,SOLEIL,Urbain,233.7944593386953
383,6,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1200,SOLEIL,SOLEIL,Urbain,233.7944593386953
1014,10,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,3,GBALEBOUO,GBALEBOUO,Rural,233.7944593386953
387,11,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60220,DJIRO GNEPAHIO,SOKOURANI,Rural,233.7944593386953
375,3,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60810,DJA SILVAIN,DJA SILVAIN,Rural,233.7944593386953
382,1,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1030,SAN PEDRO,ZIMBABWE,Urbain,233.7944593386953
371,6,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,40130,GABIADJI,DIOULA,Urbain,233.7944593386953
376,2,3,san-pedro,san-pedro,san-pedro,grand-bereby,communal,30,GRAND BEREBY,GBOWE,Urbain,233.7944593386953
389,6,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60620,MOUSSADOUGOU,JERUSALEM,Rural,233.7944593386953
381,12,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,170,SAN PEDRO,LAC,Urbain,233.7944593386953
364,5,3,san-pedro,san-pedro,san-pedro,doba,non communal,60140,DAGADJI,PETIT PARIS,Rural,233.7944593386953
383,1,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1200,SAN PEDRO,SOLEIL,Urbain,233.7944593386953
375,6,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60810,NONOUA,N GUESSANKRO,Rural,233.7944593386953
381,2,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,170,SAN PEDRO,LAC,Urbain,233.7944593386953
377,1,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,60180,OUESSEKE,OUESSEKE,Rural,233.7944593386953
381,3,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,170,SAN PEDRO,LAC,Urbain,233.7944593386953
387,5,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60220,DJIRO GNEPAHIO,KROUMEN,Rural,233.7944593386953
384,11,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1440,SAN,CMA,Urbain,233.7944593386953
372,8,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60090,BRAZZAVILLE,DJACOUKRO,Rural,233.7944593386953
383,5,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1200,SOLEIL,SOLEIL,Urbain,233.7944593386953
