sheet_id,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
76,483206,483206,483206,483206,483206,483206,483206,483206,483206,483206,483206,483206
77,618298,618298,618298,618298,618298,618298,618298,618298,618298,618298,618298,618298
78,757358,757358,757358,757358,757358,757358,757358,757358,757358,757358,757358,757358
79,572696,572696,572696,572696,572696,572696,572696,572696,572696,572696,572696,572696
80,775775,775775,775775,775775,775775,775775,775775,775775,775775,775775,775775,775775
81,1157817,1157817,1157817,1157817,1157817,1157817,1157817,1157817,1157817,1157817,1157817,1157817
82,747712,747712,747712,747712,747712,747712,747712,747712,747712,747712,747712,747712
83,896049,896049,896049,896049,896049,896049,896049,896049,896049,896049,896049,896049
84,755943,755943,755943,755943,755943,755943,755943,755943,755943,755943,755943,755943
85,1289221,1289221,1289221,1289221,1289221,1289221,1289221,1289221,1289221,1289221,1289221,1289221
86,527924,527924,527924,527924,527924,527924,527924,527924,527924,527924,527924,527924
87,398783,398783,398783,398783,398783,398783,398783,398783,398783,398783,398783,398783
88,391618,391618,391618,391618,391618,391618,391618,391618,391618,391618,391618,391618
89,421654,421654,421654,421654,421654,421654,421654,421654,421654,421654,421654,421654
90,343779,343779,343779,343779,343779,343779,343779,343779,343779,343779,343779,343779
91,504726,504726,504726,504726,504726,504726,504726,504726,504726,504726,504726,504726
92,1871033,1871033,1871033,1871033,1871033,1871033,1871033,1871033,1871033,1871033,1871033,1871033
93,1734987,1734987,1734987,1734987,1734987,1734987,1734987,1734987,1734987,1734987,1734987,1734987
94,1133418,1133418,1133418,1133418,1133418,1133418,1133418,1133418,1133418,1133418,1133418,1133418
95,2196684,2196684,2196684,2196684,2196684,2196684,2196684,2196684,2196684,2196684,2196684,2196684
96,1580387,1580387,1580387,1580387,1580387,1580387,1580387,1580387,1580387,1580387,1580387,1580387
97,1089827,1089827,1089827,1089827,1089827,1089827,1089827,1089827,1089827,1089827,1089827,1089827
98,767748,767748,767748,767748,767748,767748,767748,767748,767748,767748,767748,767748
99,695099,695099,695099,695099,695099,695099,695099,695099,695099,695099,695099,695099
100,524152,524152,524152,524152,524152,524152,524152,524152,524152,524152,524152,524152
101,1024833,1024833,1024833,1024833,1024833,1024833,1024833,1024833,1024833,1024833,1024833,1024833
102,812037,812037,812037,812037,812037,812037,812037,812037,812037,812037,812037,812037
103,816645,816645,816645,816645,816645,816645,816645,816645,816645,816645,816645,816645
104,57916,57916,57916,57916,57916,57916,57916,57916,57916,57916,57916,57916
105,159914,159914,159914,159914,159914,159914,159914,159914,159914,159914,159914,159914
106,71599,71599,71599,71599,71599,71599,71599,71599,71599,71599,71599,71599
107,333610,333610,333610,333610,333610,333610,333610,333610,333610,333610,333610,333610
108,295094,295094,295094,295094,295094,295094,295094,295094,295094,295094,295094,295094
109,119636,119636,119636,119636,119636,119636,119636,119636,119636,119636,119636,119636
110,71305,71305,71305,71305,71305,71305,71305,71305,71305,71305,71305,71305
