n_clusters,power,mean_beta,mean_sem
50,.23,.19638309,.16477394
100,.37200001,.19846302,.1168934
150,.53200001,.20078301,.095540531
200,.67199999,.20059137,.08274845
250,.79000002,.20549741,.074507535
274,.78399998,.19941421,.070951194
300,.85600001,.19862525,.067866452
350,.86400002,.19713102,.062985286
