sample_size,mean_beta,sd_beta,mean_sem,mean_ciwidth,reject_rate,coverage
10,4.9786215,.54102921,.53687912,2.4760909,1,.954
100,4.9960761,.14719927,.15184471,.60266179,1,.95999998
1000,4.9961052,.04591297,.047934182,.1881267,1,.958
10000,4.9976659,0,.015133378,.059329033,1,1
